learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1.0,0.001,0.9144437928629173,0.7595861137921397,1.00461130594284,0.7327904142462262
5.0,0.001,0.7299397299951906,0.8402882982512999,0.8583882834897425,0.7945605411933255
10.0,0.001,0.6960939802298055,0.8534064993189266,0.819904772046159,0.8142286395286591
15.0,0.001,0.6874684754038546,0.8548534599774326,0.8100956529928411,0.817839581576607
20.0,0.001,0.6710536794095403,0.8602181371361266,0.816448025922872,0.8125768269617717
25.0,0.001,0.6772732416710627,0.8589213303919059,0.8150167016892911,0.8136908425442925
30.0,0.001,0.6612442752181965,0.8628799972536848,0.802575526872367,0.8208743063635671
35.0,0.001,0.6678384741920315,0.8638355367308042,0.7941185431606431,0.822795020815926
40.0,0.001,0.6734603685848556,0.860395593353501,0.8246523912471719,0.8131530401013567
45.0,0.001,0.6661394511235832,0.8626206356965495,0.8090085040574141,0.8140749816394102
50.0,0.001,0.6625797031018733,0.8632895153368818,0.806178666243688,0.8205669901271356
55.0,0.001,0.6578392652740027,0.868190068978731,0.7912562852193039,0.825253533699722
60.0,0.001,0.6680973690857324,0.862101914541518,0.8075672562274745,0.8169176388937195
65.0,0.001,0.6538671063679056,0.865077740916772,0.7929968996306614,0.824408418207573
70.0,0.001,0.6635412446642845,0.8633168164431102,0.7893127592322866,0.82364013378944
75.0,0.001,0.6610342756515623,0.8673027836015483,0.795770913335027,0.8223340484212349
80.0,0.001,0.6732329717578347,0.8590441864195263,0.8193819031586439,0.8126152412944142
85.0,0.001,0.6637178077916069,0.8680945148538902,0.810818524817125,0.8198371217359995
90.0,0.001,0.6663378576596292,0.8631666580961278,0.8037602416873345,0.8182621374130982
95.0,0.001,0.6559579423502443,0.8651459921852501,0.8071990333401359,0.819260908358289
100.0,0.000100000005,0.5775619738664053,0.8903859014859801,0.7262936739391832,0.8430009221253985
105.0,0.000100000005,0.47726403747815677,0.9073672170960067,0.6503395486231516,0.8527197274571192
110.0,0.000100000005,0.4278220349970654,0.9152845479718332,0.6175463061227927,0.8562154281373836
115.0,0.000100000005,0.3967637931039267,0.9223418945254465,0.5972317552769851,0.855485556036985
120.0,0.000100000005,0.37745147985805855,0.9268738845439818,0.5928396233200074,0.8565227394006556
125.0,0.000100000005,0.35549494551927546,0.9299452629001418,0.5915311630025332,0.8566763994238753
130.0,0.000100000005,0.3451805246246192,0.9318972949603705,0.5882240213275176,0.856177011624977
135.0,0.000100000005,0.33236611824833207,0.9355829485882665,0.5901206572343766,0.8566763963282438
140.0,0.000100000005,0.3216198161520012,0.9382175091105213,0.5947035111958583,0.8578288256480933
145.0,0.000100000005,0.3148736333580824,0.940906672949339,0.5945810540713777,0.8580208973662576
150.0,0.000100000005,0.3095972034487002,0.9424628377911083,0.5916748127104977,0.8588660103122955
155.0,0.000100000005,0.3034107869687195,0.9459710342919831,0.5909436610289783,0.8592117357891472
160.0,0.000100000005,0.29582574656502836,0.9469265753646456,0.6035814078567068,0.8574446838420083
165.0,0.000100000005,0.29528937012236656,0.9494928831498066,0.596922991017696,0.8600952668869942
170.0,0.000100000005,0.2913279599103734,0.9486192444048188,0.61717657430742,0.8542947146741613
175.0,0.000100000005,0.2875636892087685,0.9508715903226721,0.6064038671960695,0.8572141979285817
180.0,0.000100000005,0.2841753534001286,0.9537382114308975,0.6040536661683304,0.8583282091698913
185.0,0.000100000005,0.28344612153265075,0.9532331394376601,0.6092239296099271,0.8578288255748239
190.0,0.000100000005,0.2794184155681544,0.9539429702247434,0.617641988621948,0.8552166562488493
195.0,0.000100000005,0.27790353676064933,0.9566867365477729,0.6150948983590223,0.8568300539060978
200.0,1.0000002e-05,0.2645217587382058,0.9593622485121291,0.6135719844083443,0.8592501536020855
205.0,1.0000002e-05,0.2542427262324595,0.9641126489418623,0.6026858454449967,0.8602105091339104
210.0,1.0000002e-05,0.25249198202985507,0.9643993109526888,0.6050504128681639,0.8610940380886279
215.0,1.0000002e-05,0.2511925866823631,0.9647269256781459,0.6017684837106041,0.8614013513026973
220.0,1.0000002e-05,0.24971183481701945,0.9644266132997146,0.6061611386644525,0.8607867253782856
225.0,1.0000002e-05,0.2485496679082612,0.9650135871047807,0.6030737565808598,0.8600952665389646
230.0,1.0000002e-05,0.24746995871168295,0.9658326218139498,0.6013438466434913,0.8610940379420892
235.0,1.0000002e-05,0.24465094733969192,0.9662967420762445,0.5977530989157106,0.8609403805107739
240.0,1.0000002e-05,0.24572819067591628,0.9664742001503397,0.5997064735124502,0.8609403805474086
